"No.","Time","Source","Destination","Protocol","Info"
"1645245","1593265513.977366","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 38124; Unit:   1, Func:   5: Write Single Coil"
"1646199","1593265514.477701","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 55890; Unit:   1, Func:   5: Write Single Coil"
"1646204","1593265514.479387","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 55890; Unit:   1, Func:   5: Write Single Coil"
"1646205","1593265514.479456","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 64988; Unit:   1, Func:   5: Write Single Coil"
"1646211","1593265514.482692","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 64988; Unit:   1, Func:   5: Write Single Coil"
"1646212","1593265514.482731","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 31379; Unit:   1, Func:   5: Write Single Coil"
"1646216","1593265514.485970","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 31379; Unit:   1, Func:   5: Write Single Coil"
"1646218","1593265514.486073","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 43073; Unit:   1, Func:   5: Write Single Coil"
"1646224","1593265514.489275","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 43073; Unit:   1, Func:   5: Write Single Coil"
"1646225","1593265514.489385","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 30845; Unit:   1, Func:   5: Write Single Coil"
"1646234","1593265514.492563","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 30845; Unit:   1, Func:   5: Write Single Coil"
"1646235","1593265514.492605","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  5184; Unit:   1, Func:   5: Write Single Coil"
"1646243","1593265514.495914","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  5184; Unit:   1, Func:   5: Write Single Coil"
"1646245","1593265514.496040","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  6645; Unit:   1, Func:   5: Write Single Coil"
"1646251","1593265514.499423","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  6645; Unit:   1, Func:   5: Write Single Coil"
"1646252","1593265514.499487","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  2024; Unit:   1, Func:   5: Write Single Coil"
"1646260","1593265514.502777","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  2024; Unit:   1, Func:   5: Write Single Coil"
"1647248","1593265515.003337","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 24712; Unit:   1, Func:   5: Write Single Coil"
"1647253","1593265515.005079","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 24712; Unit:   1, Func:   5: Write Single Coil"
"1647254","1593265515.005358","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 63126; Unit:   1, Func:   5: Write Single Coil"
"1647262","1593265515.008166","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 63126; Unit:   1, Func:   5: Write Single Coil"
"1647263","1593265515.008217","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 57735; Unit:   1, Func:   5: Write Single Coil"
"1647270","1593265515.011426","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 57735; Unit:   1, Func:   5: Write Single Coil"
"1647271","1593265515.011481","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:   516; Unit:   1, Func:   5: Write Single Coil"
"1647277","1593265515.014772","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:   516; Unit:   1, Func:   5: Write Single Coil"
"1647278","1593265515.014871","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 13242; Unit:   1, Func:   5: Write Single Coil"
"1647284","1593265515.018118","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 13242; Unit:   1, Func:   5: Write Single Coil"
"1647286","1593265515.018169","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 63494; Unit:   1, Func:   5: Write Single Coil"
"1647290","1593265515.021378","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 63494; Unit:   1, Func:   5: Write Single Coil"
"1647291","1593265515.021416","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 55941; Unit:   1, Func:   5: Write Single Coil"
"1647298","1593265515.024691","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 55941; Unit:   1, Func:   5: Write Single Coil"
"1647299","1593265515.024804","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 61506; Unit:   1, Func:   5: Write Single Coil"
"1647303","1593265515.028085","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 61506; Unit:   1, Func:   5: Write Single Coil"
"1647305","1593265515.028193","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 52894; Unit:   1, Func:   5: Write Single Coil"
"1647314","1593265515.031435","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 52894; Unit:   1, Func:   5: Write Single Coil"
"1647316","1593265515.031517","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  7646; Unit:   1, Func:   5: Write Single Coil"
